cleStation;idStaSINP;dSPublique;refBiblio;idOrigSta;dateDebut;dateFin;dateImprec;observer;nomStation;isComplex;exposition;altMin;altMax;altMoy;profMin;profMax;profMoy;surface;methCalcSu;usage;typeSol;geologie;acidite;comment;WKT;natObjGeo;precisGeom;echelleNum
11;;Pr;;11;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;108.829;sig;;11;11;;;MULTIPOLYGON(((594050.550800003 6175283.738,594044.591899998 6175269.8338,594043.992399998 6175272.4711,594044.359800003 6175280.5541,594048.768799998 6175293.4136,594050.605800003 6175300.3944,594051.352899998 6175303.3828,594051.352899998 6175301.3842,594052.957099997 6175292.9621,594050.550800003 6175283.738)));St;;
12;;Pr;;12;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;449.773;sig;;12;12;;;MULTIPOLYGON(((594065.389600001 6175337.8797,594054.456200004 6175330.5908,594056.484399997 6175340.4423,594059.791 6175360.65,594062.363 6175363.5892,594063.643399999 6175365.5097,594071.244599998 6175365.8136,594074.757600002 6175376.792,594074.840300001 6175376.3992,594074.840300001 6175366.4853,594074.840300001 6175356.5714,594069.65 6175339.3487,594065.389600001 6175337.8797)));St;;
13;;Pr;;13;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;184.921;sig;;13;13;;;MULTIPOLYGON(((594033.151199996 6175487.9935,594034.223800004 6175480.2717,594032.472499996 6175480.5412,594028.976499997 6175472.2782,594031.519 6175467.5112,594025.276299998 6175463.4398,594026.356799997 6175468.3018,594023.784699999 6175474.1801,594021.947800003 6175480.0588,594021.580300003 6175483.733,594021.580300003 6175486.9536,594021.667 6175486.8972,594032.8649 6175488.96,594033.151199996 6175487.9935)));St;;
14;;Pr;;14;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;601.914;sig;;14;14;;;MULTIPOLYGON(((594017.217699997 6175512.6394,594016.612899996 6175506.3877,594012.762500003 6175513.1259,594008.720899999 6175523.4135,594005.7817 6175534.8031,594003.577100001 6175543.6212,593999.535599999 6175552.439,593998.960600004 6175559.3399,594005.232100002 6175564.8737,594004.029 6175577.3062,594005.263300002 6175581.0092,594011.544100001 6175557.6448,594014.594400004 6175537.0546,594019.4243 6175524.3443,594023.016400002 6175517.7351,594017.217699997 6175512.6394)));St;;
15;;Pr;;15;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1111.476;sig;;15;15;;;MULTIPOLYGON(((593924.5405 6175806.7669,593925.022299998 6175805.9044,593938.256899998 6175805.9044,593943.041 6175805.6387,593953.111699998 6175792.0819,593962.223700002 6175777.1716,593960.715700001 6175773.8205,593958.710500002 6175764.5964,593971.142899998 6175756.5754,593979.163900003 6175745.3459,593989.591200002 6175732.1114,593995.607 6175720.0798,593999.419399999 6175720.6446,594002.366599999 6175715.4519,594000.419600002 6175715.6683,593997.612199999 6175714.0641,593992.398599997 6175709.2515,593992.388 6175709.0163,593989.248 6175711.5282,593978.593199998 6175733.5731,593962.426899999 6175753.7808,593955.446099997 6175764.803,593944.423900001 6175781.3367,593933.034100004 6175797.5027,593924.5836 6175806.3205,593924.5405 6175806.7669)));St;;
16;;Pr;;16;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;158.584;sig;;16;16;;;MULTIPOLYGON(((593887.323600002 6175866.4629,593894.987 6175858.493,593890.414399996 6175858.493,593884.168300003 6175860.3301,593879.759300001 6175872.4547,593873.145900004 6175878.7007,593870.206699997 6175883.8445,593866.899800003 6175892.6624,593867.034299999 6175893.4015,593867.672200002 6175893.3332,593874.891099997 6175883.7081,593880.906800002 6175874.885,593887.323600002 6175866.4629)));St;;
17;;Pr;;17;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;376.52;sig;;17;17;;;MULTIPOLYGON(((593868.847599998 6175911.643,593862.2535 6175903.3473,593858.147600003 6175908.4008,593849.818599999 6175914.4322,593848.467799999 6175920.3986,593848.822899997 6175925.0162,593846.416599996 6175932.6361,593841.604 6175941.4592,593831.176700003 6175949.0791,593828.3693 6175954.2927,593830.154399998 6175956.2265,593836.756499998 6175945.2584,593854.799 6175931.2664,593868.847599998 6175911.643)));St;;
18;;Pr;;18;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;143.555;sig;;18;18;;;MULTIPOLYGON(((593824.759900004 6175943.0633,593827.652500004 6175937.037,593824.280199997 6175937.4867,593818.985799998 6175941.2441,593817.136299998 6175947.7172,593809.953900002 6175955.0838,593806.976300001 6175964.7314,593817.942100003 6175955.0948,593824.759900004 6175943.0633)));St;;
19;;Pr;;19;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1638.768;sig;;19;19;;;MULTIPOLYGON(((593726.660899997 6176102.8536,593732.919600002 6176094.2481,593732.919600002 6176091.8527,593736.529 6176083.0296,593740.138499998 6176063.3782,593741.742700003 6176047.7373,593756.180500001 6176033.7006,593760.129799999 6176035.1986,593767.579300001 6176031.6313,593770.618199997 6176028.0858,593767.409900002 6176016.8565,593783.050800003 6176009.6375,593791.071800001 6176001.6166,593793.077 6175991.5904,593793.877700001 6175984.5841,593781.660400003 6176003.9881,593771.3728 6176011.7039,593765.494099997 6176012.4387,593761.452799998 6176016.4801,593756.676299997 6176024.1957,593751.165100001 6176029.3395,593742.3473 6176035.2182,593736.101300001 6176046.9754,593733.5295 6176062.774,593730.957500003 6176075.2661,593729.553900003 6176075.9468,593729.691200003 6176077.8685,593728.911200002 6176079.4936,593729.487899996 6176081.5121,593727.283399999 6176091.0648,593719.200300001 6176099.8828,593715.893600002 6176099.148,593707.075800002 6176098.7804,593705.406800002 6176098.7804,593705.287699997 6176098.8824,593701.321500003 6176106.1539,593706.341 6176112.7422,593681.356899999 6176148.7485,593677.246799998 6176150.9747,593677.8015 6176164.842,593679.529600002 6176166.1862,593682.123099998 6176171.0849,593682.843500003 6176170.6047,593687.6303 6176149.9849,593700.885899998 6176132.3106,593714.141599998 6176113.8999,593726.660899997 6176102.8536)));St;;
20;;Pr;;20;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;125.744;sig;;20;20;;;MULTIPOLYGON(((592637.5735 6186233.8336,592637.5735 6186228.3116,592631.231 6186230.0435,592620.601 6186232.894,592619.905299999 6186233.976,592619.033399999 6186237.962,592630.147399999 6186239.1968,592637.5735 6186233.8336)));St;;
