form_observation;Observation;Groupement des champs d'observation;1;1
form_localisation;Localisation;Groupement des champs de localisation;2;1
form_regroupements;Regroupements;Groupement des champs de regroupement;3;1
form_standardisation;Standardisation;Groupement des champs de standardisation;4;1
form_autres;Autres;Autres champs;6;1
