id;name;description;schema_code;is_ref;status;created_at;standard
model_1;Occ_Taxon_DSR_1.2.1;Implémentation du standard « Occurrences de Taxons » v1.2.1;RAW_DATA;TRUE;unpublished;;occtax
model_1000;Occ_Habitat_DSR_1.0;Implémentation du standard "Occurences d'habitats" v1.0;RAW_DATA;TRUE;unpublished;;habitat
