altitudemax;file_observation;0;;1;altitudeMax;
altitudemin;file_observation;0;;2;altitudeMin;
altitudemoyenne;file_observation;0;;3;altitudeMoyenne;
anneerefcommune;file_observation;0;;4;anneeRefCommune;
anneerefdepartement;file_observation;0;;5;anneeRefDepartement;
cdnom;file_observation;0;;6;cdNom;
cdref;file_observation;0;;7;cdRef;
codecommune;file_observation;0;;8;codeCommune;
codedepartement;file_observation;0;;9;codeDepartement;
codeen;file_observation;0;;10;codeEN;
codehabitat;file_observation;0;;11;codeHabitat;
codehabref;file_observation;0;;12;codeHabref;
codeidcnpdispositif;file_observation;0;;13;codeIDCNPDispositif;
codemaille;file_observation;0;;14;codeMaille;
codeme;file_observation;0;;15;codeME;
commentaire;file_observation;0;;16;commentaire;
datedetermination;file_observation;0;yyyy-MM-dd;17;dateDetermination;
dateme;file_observation;0;yyyy-MM-dd;18;dateME;
deefloutage;file_observation;0;;19;deeFloutage;
denombrementmax;file_observation;0;;20;denombrementMax;
denombrementmin;file_observation;0;;21;denombrementMin;
determinateuridentite;file_observation;0;;22;determinateurIdentite;
determinateurmail;file_observation;0;;23;determinateurMail;
determinateurnomorganisme;file_observation;0;;24;determinateurNomOrganisme;
diffusionniveauprecision;file_observation;0;;25;diffusionNiveauPrecision;
dspublique;file_observation;1;;26;dSPublique;
geometrie;file_observation;0;;27;geometrie;
heuredatedebut;file_observation;1;HH:mm;28;heureDateDebut;
heuredatefin;file_observation;1;HH:mm;29;heureDateFin;
identifiantorigine;file_observation;0;;30;identifiantOrigine;
identifiantpermanent;file_observation;0;;31;identifiantPermanent;
identifiantregroupementpermanent;file_observation;0;;32;identifiantRegroupementPermanent;
jddcode;file_observation;0;;33;jddCode;
jddid;file_observation;0;;34;jddId;
jddmetadonneedeeid;file_observation;0;;35;jddmetadonneedeeid;
jddsourceid;file_observation;0;;36;jddSourceId;
jourdatedebut;file_observation;1;yyyy-MM-dd;37;jourDateDebut;
jourdatefin;file_observation;1;yyyy-MM-dd;38;jourDateFin;
methoderegroupement;file_observation;0;;39;methodeRegroupement;
natureobjetgeo;file_observation;0;;40;natureObjetGeo;
nomcite;file_observation;1;;41;nomCite;
nomcommune;file_observation;0;;42;nomCommune;
nomrefmaille;file_observation;0;;43;nomRefMaille;
objetdenombrement;file_observation;0;;44;objetDenombrement;
obscontexte;file_observation;0;;45;obsContexte;
obsdescription;file_observation;0;;46;obsDescription;
observateuridentite;file_observation;0;;47;observateurIdentite;
observateurmail;file_observation;0;;48;observateurMail;
observateurnomorganisme;file_observation;0;;49;observateurNomOrganisme;
obsmethode;file_observation;0;;50;obsMethode;
occetatbiologique;file_observation;0;;51;occEtatBiologique;
occmethodedetermination;file_observation;0;;52;occMethodeDetermination;
occnaturalite;file_observation;0;;53;occNaturalite;
occsexe;file_observation;0;;54;occSexe;
occstadedevie;file_observation;0;;55;occStadeDeVie;
occstatutbiogeographique;file_observation;0;;56;occStatutBioGeographique;
occstatutbiologique;file_observation;0;;57;occStatutBiologique;
organismegestionnairedonnee;file_observation;1;;58;organismeGestionnaireDonnee;
organismestandard;file_observation;0;;59;organismeStandard;
orgtransformation;file_observation;0;;60;orgTransformation;
precisiongeometrie;file_observation;0;;61;precisionGeometrie;
preuveexistante;file_observation;0;;62;preuveExistante;
preuvenonnumerique;file_observation;0;;63;preuveNonNumerique;
preuvenumerique;file_observation;0;;64;preuveNumerique;
profondeurmax;file_observation;0;;65;profondeurMin;
profondeurmin;file_observation;0;;66;profondeurMax;
profondeurmoyenne;file_observation;0;;67;profondeurMoyenne;
referencebiblio;file_observation;0;;68;referencebiblio;
refhabitat;file_observation;0;;69;refHabitat;
statutobservation;file_observation;1;;70;statutObservation;
statutsource;file_observation;1;;71;statutSource;
typedenombrement;file_observation;0;;72;typeDenombrement;
typeen;file_observation;0;;73;typeEN;
typeinfogeocommune;file_observation;0;;74;typeInfoGeoCommune;
typeinfogeodepartement;file_observation;0;;75;typeInfoGeoDepartement;
typeinfogeoen;file_observation;0;;76;typeInfoGeoEN;
typeinfogeomaille;file_observation;0;;77;typeInfoGeoMaille;
typeinfogeome;file_observation;0;;78;typeInfoGeoME;
typeregroupement;file_observation;0;;79;typeRegroupement;
validateuridentite;file_observation;0;;80;validateurIdentite;
validateurmail;file_observation;0;;81;validateurMail;
validateurnomorganisme;file_observation;0;;82;validateurNomOrganisme;
versionen;file_observation;0;;83;versionEN;
versionme;file_observation;0;;84;versionME;
versionrefhabitat;file_observation;0;;85;versionRefHabitat;
versionrefmaille;file_observation;0;;86;versionRefMaille;
versiontaxref;file_observation;0;;87;versionTaxref;
