cd_nom,num_version_init,num_version_final,champ,valeur_init,valeur_final,type_change,cd_nom_remplacement,cd_raison_suppression
793,11.0,12.0,CD_NOM,793,,RETRAIT,457320,1
1109,11.0,12.0,CD_NOM,1109,,RETRAIT,457280,1
1141,11.0,12.0,CD_NOM,1141,,RETRAIT,457277,1
1350,11.0,12.0,CD_NOM,1350,,RETRAIT,457288,1
1464,11.0,12.0,CD_NOM,1464,,RETRAIT,1463,1
1491,11.0,12.0,CD_NOM,1491,,RETRAIT,457313,1
1654,11.0,12.0,CD_NOM,1654,,RETRAIT,457394,1
1662,11.0,12.0,CD_NOM,1662,,RETRAIT,457393,1
1694,11.0,12.0,CD_NOM,1694,,RETRAIT,457387,1
1810,11.0,12.0,CD_NOM,1810,,RETRAIT,457367,1
1942,11.0,12.0,CD_NOM,1942,,RETRAIT,457346,1
2443,11.0,12.0,CD_NOM,2443,,RETRAIT,2446,1
15363,11.0,12.0,CD_NOM,15363,,RETRAIT,15362,1
15388,11.0,12.0,CD_NOM,15388,,RETRAIT,15387,1
26731,11.0,12.0,CD_NOM,26731,,RETRAIT,217076,1
29222,11.0,12.0,CD_NOM,29222,,RETRAIT,520280,1
32775,11.0,12.0,CD_NOM,32775,,RETRAIT,509895,1
33139,11.0,12.0,CD_NOM,33139,,RETRAIT,34188,1
33403,11.0,12.0,CD_NOM,33403,,RETRAIT,519976,1
34200,11.0,12.0,CD_NOM,34200,,RETRAIT,513269,1
36620,11.0,12.0,CD_NOM,36620,,RETRAIT,36633,1
36657,11.0,12.0,CD_NOM,36657,,RETRAIT,36652,1
37011,11.0,12.0,CD_NOM,37011,,RETRAIT,464670,1
37401,11.0,12.0,CD_NOM,37401,,RETRAIT,465210,1
412677,11.0,12.0,CD_NOM,412677,,RETRAIT,,
38582,11.0,12.0,CD_NOM,38582,,RETRAIT,38773,1
40745,11.0,12.0,CD_NOM,40745,,RETRAIT,40716,1
41563,11.0,12.0,CD_NOM,41563,,RETRAIT,520268,1
42269,11.0,12.0,CD_NOM,42269,,RETRAIT,380799,1
43530,11.0,12.0,CD_NOM,43530,,RETRAIT,517234,1
44221,11.0,12.0,CD_NOM,44221,,RETRAIT,463662,1
44543,11.0,12.0,CD_NOM,44543,,RETRAIT,438140,1
44546,11.0,12.0,CD_NOM,44546,,RETRAIT,463447,1
44708,11.0,12.0,CD_NOM,44708,,RETRAIT,44711,1
47464,11.0,12.0,CD_NOM,47464,,RETRAIT,861021,1
54598,11.0,12.0,CD_NOM,54598,,RETRAIT,,2
54654,11.0,12.0,CD_NOM,54654,,RETRAIT,,2
